condition_name,exp_selected_item_name,selected_LANDLINE_ONLY,availablity_addon_LANDLINE_ONLY,selected_EVENING_WEEKEND,selected_ANYTIME_LANDLINE_MOBILE,selected_INTERNATIONAL_300,total_addon_cost_paid,exp_likelihoodToTake,demogAge,BB_current_provider,BB_current_plan,BB_current_contract_length,BB_usage_email,BB_usage_browsing,BB_usage_music_podcasts,BB_usage_TV_movies,BB_usage_video_calls,BB_usage_large_files,BB_usage_downloading_games,BB_usage_playing_games,VF_SEG_statements_1,VF_SEG_statements_2,VF_SEG_statements_3,MOB_current_mobile_provider,demogEducation,demogMaritalStatus,VF_SEG_living_arrangements,demogRegion,demogRural_urban,VF_current_landline_service,is_female,demogWorkStatus_2,demogHouseIncome_value_k,demogTotalHHSize,hh_num_under_18,has_children_under_18,is_mobile,BB_price_is_bundled,BB_current_spend_seperate_abs,BB_current_spend_bundled_abs,BB_current_time_with_provider_abs,MOB_current_mobile_plan_type_2,MOB_time_with_current_mobile_provider_abs,VF_SEGMENT,VF_current_landline_usage_bin,willing_to_wait_score
2) LL add-on at £1,2_Superfast_2,0,1,0,0,0,0,6,73,Other,Fast Fibre Broadband (Up to 100Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Rarely,Rarely,Occasionally,Occasionally,Rarely,Never,1  Strongly    Agree ,4  Agree ,3  Neutral ,giffgaff,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Scotland,Town,Yes,0,Retired,45,2,0,0,0,0,20,0,0.916666667,SIMO,1.666666667,Switcher,1,3.2
5) Call bundles only,8_Pro_ultrafast_500,0,0,0,1,0,8,7,68,KCOM,Ultrafast Fibre Broadband (Over 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Occasionally,Occasionally,Rarely,Rarely,Never,Every day,1  Strongly    Agree ,4  Agree ,4  Agree ,EE,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,Yorkshire and the Humber,Village,Yes,1,Retired,27.5,2,0,0,0,1,0,64.5,11,PAYG,11,Switcher,1,3.6
3) LL add-on at £3,1_Superfast_1,0,1,0,0,0,0,7,46,Vodafone,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Most days,Most days,Occasionally,Most days,Never,Rarely,Rarely,Occasionally,2  Agree ,4  Agree ,4  Agree ,ID,Vocational certificate,Single,I live alone.,North East England,Town,Yes,0,Full_time,17.5,1,0,0,1,0,22,0,0.083333333,SIMO,1.5,Switcher,0,3.8
5) Call bundles only,3_Superfast_100,0,0,0,1,0,8,0,62,Sky,Fibre Broadband (Up to 52Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Most days,Every day,Occasionally,Occasionally,Occasionally,Every day,1  Strongly    Agree ,3  Neutral ,4  Agree ,3,A-level or equivalent,Widowed / Divorced / Separated,I live with other members of my family.,South East England,City Suburb,Yes,1,Part_time,12.5,3,0,0,1,1,0,28,10.5,PAYG,4.5,Sticker,1,3.4
2) LL add-on at £1,7_Pro_ultrafast_200,0,1,0,1,1,13,8,70,Sky,Fibre Broadband (Up to 52Mb/s),My contract expires in over a years^ time,Every day,Every day,Occasionally,Every day,Never,Occasionally,Occasionally,Never,4  Agree ,3  Neutral ,5  Strongly  Agree ,Sky Mobile,GCSE or equivalent,Widowed / Divorced / Separated,I live alone.,Scotland,City Suburb,Yes,0,Retired,22.5,1,0,0,1,0,45,0,5.5,PAYM,11,Retired singles (>65yrs),1,4.6
0) Baseline,3_Superfast_100,0,0,0,1,0,8,10,63,Shell Energy Broadband,Fibre Broadband (Up to 52Mb/s),My contract expires in less than 3 months,Most days,Every day,Occasionally,Occasionally,Rarely,Never,Never,Never,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,O2,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,East Midlands,Rural,Yes,0,Full_time,27.5,2,0,0,0,1,0,38,4.166666667,PAYM,4.583333333,Sticker,1,4.4
0) Baseline,7_Pro_ultrafast_200,0,0,0,1,0,8,0,59,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),I^m not in a contract / My contract has already expired,Every day,Every day,Rarely,Never,Occasionally,Occasionally,Never,Never,1  Strongly    Agree ,5  Strongly  Agree ,3  Neutral ,EE,Vocational certificate,Single,I live alone.,South West England,City Centre,Yes,0,Full_time,27.5,1,0,0,0,1,0,120,11,PAYG,11,Switcher,1,3.6
1) LL add-on at £0,2_Superfast_2,1,1,0,0,0,0,7,70,Vodafone,Fibre Broadband (Up to 52Mb/s),My contract expires in between 3-6 months,Every day,Most days,Never,Occasionally,Occasionally,Rarely,Never,Never,2  Agree ,4  Agree ,4  Agree ,Vodafone,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,North West England,Town,Yes,1,Retired,37.5,2,0,0,0,1,0,21,6,SIMO,0,Switcher,1,3.2
3) LL add-on at £3,4_Pro_superfast_1,0,1,0,1,0,8,6,67,BT,Fibre Broadband (Up to 52Mb/s),My contract expires in between 6 months and a year,Every day,Every day,Rarely,Occasionally,Most days,Most days,Never,Never,1  Strongly    Agree ,2  Agree ,3  Neutral ,BT Mobile,Masters or other higher degree,Widowed / Divorced / Separated,I live alone.,Scotland,Town,Yes,0,Part_time,32.5,1,0,0,0,1,0,55,4.416666667,SIMO,5.666666667,Retired singles (>65yrs),1,3.4
4) LL add-on at £5,1_Superfast_1,0,1,0,0,0,0,7,70,Virgin Media,Ultrafast Fibre Broadband (Over 100Mb/s),I^m not in a contract / My contract has already expired,Most days,Never,Never,Occasionally,Rarely,Rarely,Never,Never,1  Strongly    Agree ,3  Neutral ,5  Strongly  Agree ,Vodafone,Vocational certificate,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South West England,Town,Yes,0,Retired,27.5,2,0,0,0,1,0,92,10,SIMO,11,Sticker,1,3.2
5) Call bundles only,1_Superfast_1,0,0,0,1,0,8,0,71,NOW Broadband,Standard broadband (Up to 17MB/s),I^m not in a contract / My contract has already expired,Every day,Every day,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,1  Strongly    Agree ,2  Agree ,5  Strongly  Agree ,EE,Bachelor or first degree equivalent,Married / Civil Partnership / Living as Married,I live with my partner and we live alone.,South East England,Village,Yes,0,Retired,45,2,0,0,0,0,18,0,2.166666667,PAYG,11,Sticker,1,4
